Household Key,Length Of Residence,Number of Roadside calss for Year 1,Number of Roadside calss for Year 2,Number of Roadside calss for Year 3,Roadside Member Cost for Year 1,Roadside Member Cost for Year 2,Roadside Member Cost for Year 3,Member Tenure Years,Years to Cancelled Status,Basic Cost,Calculated Tow Miles,Plus Cost,Premier Cost,Total Cost,Total Number of Roadside Calls,Total Roadside Member Cost,Email Available,Age,Years from most recent Membership Expiration,Years from Join Date,Purchased Product 1,Purchased Product 2,Purchased Product 3,Purchased Product 4,Purchased Product 5,Purchased Product 6,Purchased Product 7,Purchased Product 8,Mail Responder,Home Owner,Opt-Out - Publication,Cash Call,Fleet Indicator,Total Number of Purchased Products,Household Purchased Product,Email Correspondent,Home Renter,No Home Ownership Info,City,Number of Children,Annual Income,Education,Annual Credit Possible,Member Status,Member Type,Renew Method,Motorcycle Indicator,AAA Service Necessity Due Problem 1,AAA Club 1,Vehicle Manufacturer Name 1,AAA Service Necessity Due Problem 2,Vehicle Manufacturer Name 2,AAA Club 2,Number of Members per Household Key,Frequency of use of Roadside Services,Household have used the Roadside Services,Household Group Label,Household Purchase Product Probability,Household Roadside Usage Probability
417560,100.80149812734082,18,16,19,8940.90909090909,610.9090909090909,1011.8181818181819,75,52,952.7272727272727,10.909090909090908,0.0,0.0,952.7272727272727,53,10563.636363636362,1,74,1,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,WARWICK,0,14500.0,High School,624500.0,CANCELLED,Primary,NOTICE,0,Flat Tire,AAA Northeast,DODGE,Tow,,,12,53,1,4,0.010776946398076566,0.9999999999410678
433810,103.0,0,0,3,0.0,0.0,176.66666666666666,362,149,510.0,0.0,0.0,0.0,510.0,3,176.66666666666666,1,60,2,37,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,CRANSTON,1,94500.0,Some College,724500.0,CANCELLED,Associate,NOTICE,0,Tow,AAA Northeast,DODGE,,,,4,3,1,2,0.010776946398076566,0.5134276236331733
495780,150.0,0,0,0,0.0,0.0,0.0,210,242,150.0,0.0,0.0,0.0,150.0,0,0.0,1,76,0,22,0,0,0,0,0,0,1,1,1,0,1,0,0,2,1,1,0,1,COVENTRY,0,9999.0,Unknown,499999.0,ACTIVE,Primary,AUTO RENEW,0,Tow,AAA Northeast,CHRYSLER,,GMC,,3,0,0,1,0.9999998086449837,0.18545711807362958
550470,99.69072164948453,0,13,13,0.0,400.0,520.0,385,371,300.0,0.0,0.0,0.0,300.0,26,920.0,1,74,4,40,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,WAKEFIELD,0,162000.0,Some College,774500.0,ACTIVE,Primary,NOTICE,1,Tow,AAA Northeast,JEEP,,,,4,26,1,0,0.985682245716378,0.9999969011833957
552950,50.0,0,0,0,0.0,0.0,0.0,690,242,0.0,0.0,0.0,0.0,0.0,0,0.0,0,73,0,70,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,WARWICK,0,9999.0,Unknown,499999.0,ACTIVE,Primary,NOTICE,1,Battery Service,AAA Northeast,HYUNDAI,,,,1,0,0,1,0.010776946398076566,0.18545711807362958
734210,130.0,0,0,0,0.0,0.0,0.0,480,242,0.0,0.0,0.0,0.0,0.0,0,0.0,1,72,0,49,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,WEST WARWICK,0,94500.0,Unknown,724500.0,ACTIVE,Associate,NOTICE,0,Flat Tire,AAA Northeast,NISSAN,,,,1,0,0,2,0.010776946398076566,0.18545711807362958
938960,90.0,0,0,5,0.0,0.0,340.0,350,203,530.0,50.0,120.0,0.0,650.0,5,340.0,0,78,1,36,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,TIVERTON,0,124500.0,Some College,724500.0,ACTIVE,Primary,NOTICE,0,Flat Tire,AAA Northeast,TOYOTA,,,,2,5,1,4,0.010776946398076566,0.7457504217759682
1035450,112.03508771929825,20,20,20,10399.0,1477.0,835.0,460,242,1022.2222222222222,26.666666666666668,0.0,0.0,1022.2222222222222,60,12711.0,1,74,0,47,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,TIVERTON,0,187000.0,Some College,774500.0,ACTIVE,Primary,NOTICE,0,Battery Service,AAA Northeast,MERCEDES-BENZ,Flat Tire,,,9,60,1,4,0.010776946398076566,0.9999999999982185
1064870,96.0,8,2,0,4708.0,64.0,0.0,269,81,3095.0,30.0,0.0,0.0,3095.0,10,4772.0,1,47,4,28,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,EAST GREENWICH,0,187000.0,Unknown,774500.0,ACTIVE,Primary,AUTO RENEW,1,Battery Service,AAA Northeast,GMC,,,,7,10,1,0,0.9941377887138593,0.9148096227331936
1153060,75.0,0,0,0,0.0,0.0,0.0,415,185,0.0,0.0,0.0,0.0,0.0,0,0.0,1,78,0,42,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,COVENTRY,1,94500.0,Completed College,774500.0,ACTIVE,Associate,NOTICE,0,Tow,AAA Northeast,TOYOTA,,,,2,0,0,2,0.010776946398076566,0.18545711807362958
1153510,105.0,0,0,0,0.0,0.0,0.0,414,354,260.0,160.0,0.0,0.0,380.0,0,0.0,1,80,5,42,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,SCITUATE,0,74500.0,Unknown,774500.0,ACTIVE,Primary,AUTO RENEW,1,Miscellaneous,AAA Northeast,HYUNDAI,,,,5,0,0,4,0.010776946398076566,0.18545711807362958
1154300,80.0,0,0,20,0.0,0.0,7325.0,490,450,530.0,0.0,0.0,0.0,530.0,20,7325.0,0,98,4,50,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,COVENTRY,0,44500.0,Unknown,774500.0,ACTIVE,Primary,NOTICE,0,Extrication,AAA Northeast,MERCURY,,,,1,20,1,4,0.010776946398076566,0.9998405640154663
1168060,28.0,6,27,17,291.2692307692308,4153.326923076923,689.4230769230769,289,68,1073.5,21.64,0.0,0.0,1073.5,50,5134.0192307692305,1,74,1,30,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,MANVILLE,2,94500.0,Completed College,774500.0,CANCELLED,Associate,NOTICE,0,"Unleaded, Out of Gas",AAA Northeast,HONDA,,,,55,50,1,2,0.010776946398076566,0.999999999983852
1174300,133.0,0,8,0,0.0,295.8333333333333,0.0,300,242,275.0,1.6666666666666667,0.0,0.0,275.0,8,295.8333333333333,0,77,0,31,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,EAST GREENWICH,1,224500.0,Unknown,774500.0,ACTIVE,Associate,NOTICE,0,Jump Start,AAA Northeast,SUBARU,Tow,,,6,8,1,2,0.010776946398076566,0.9588013452090565
1180680,150.0,0,0,0,0.0,0.0,0.0,365,181,530.0,0.0,0.0,0.0,530.0,0,0.0,1,39,2,38,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,CRANSTON,0,14500.0,Unknown,774500.0,CANCELLED,Primary,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,2,0,0,3,0.010776946398076566,0.18545711807362958
1430510,150.0,0,0,10,0.0,0.0,530.0,490,242,280.0,0.0,0.0,0.0,280.0,10,530.0,0,91,0,50,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,GREENVILLE,2,74500.0,Unknown,674500.0,CANCELLED,Primary,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,1,10,1,3,0.010776946398076566,0.9742178515793392
1438900,140.0,0,0,0,0.0,0.0,0.0,163,310,415.0,5.0,0.0,0.0,415.0,0,0.0,1,66,5,17,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,JOHNSTON,1,74500.0,Completed College,724500.0,CANCELLED,Associate,NOTICE,0,Jump Start,AAA Northeast,HONDA,,,,3,0,0,2,0.010776946398076566,0.18545711807362958
1583260,97.42028985507247,0,50,30,0.0,1460.0,1090.0,142,117,314.44444444444446,2.2222222222222223,0.0,0.0,314.44444444444446,80,2550.0,1,74,3,15,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,PAWTUCKET,3,54500.0,Completed College,774500.0,ACTIVE,Primary,AUTO RENEW,0,Tow,AAA Northeast,DODGE,,,,10,80,1,0,0.985682245716378,1.0
1709640,150.0,0,5,0,0.0,2942.5,0.0,318,194,5885.0,0.0,0.0,0.0,5885.0,5,2942.5,1,67,5,33,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,JOHNSTON,1,94500.0,Some College,724500.0,PENDING,Primary,NOTICE,0,Flat Tire,AAA Northeast,CHRYSLER,,,,4,5,1,4,0.010776946398076566,0.8041005280708815
1718270,92.0,4,10,14,2206.875,588.5,6250.625,174,96,2330.4285714285716,4.285714285714286,0.0,0.0,2330.4285714285716,28,9046.0,1,44,2,18,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,JOHNSTON,0,54500.0,Some College,724500.0,ACTIVE,Primary,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,9,28,1,3,0.010776946398076566,0.9999972637989992
1750160,110.0,0,0,0,0.0,0.0,0.0,295,86,530.0,0.0,0.0,0.0,530.0,0,0.0,0,74,1,30,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,WAKEFIELD,0,74500.0,Unknown,499999.0,ACTIVE,Primary,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,2,0,0,3,0.010776946398076566,0.18545711807362958
1753100,105.7378640776699,10,10,30,530.0,530.0,13575.0,480,440,530.0,0.0,0.0,0.0,530.0,50,14635.0,0,74,4,49,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,NARRAGANSETT,0,9999.0,Unknown,499999.0,ACTIVE,Associate,NOTICE,0,Battery Service,AAA Northeast,HONDA,,TOYOTA,,1,50,1,1,0.010776946398076566,0.9999999998984421
1770390,150.0,20,10,0,1177.0,5885.0,0.0,30,242,4414.0,0.0,0.0,0.0,4414.0,30,7062.0,1,74,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,RUMFORD,0,54500.0,Completed College,800000.0,ACTIVE,Associate,NOTICE,0,Battery Service,AAA Northeast,TOYOTA,,,,2,30,1,2,0.010776946398076566,0.9999840526171667
1938510,70.0,0,0,0,0.0,0.0,0.0,278,330,446.6666666666667,83.33333333333333,180.0,0.0,626.6666666666666,0,0.0,1,64,4,29,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,JAMESTOWN,0,250000.0,Completed College,774500.0,ACTIVE,Primary,AUTO RENEW,1,Tow,AAA Northeast,TOYOTA,,,,4,0,0,4,0.010776946398076566,0.18545711807362958
1939810,98.66539923954373,0,0,0,0.0,0.0,0.0,478,293,425.0,5.0,0.0,0.0,425.0,0,0.0,1,74,4,49,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,CRANSTON,0,9999.0,Unknown,499999.0,CANCELLED,Primary,NOTICE,0,Flat Tire,AAA Northeast,DODGE,Lockout,FORD,,4,0,0,1,0.010776946398076566,0.18545711807362958
1939880,70.23076923076923,0,0,0,0.0,0.0,0.0,380,190,5885.0,50.0,0.0,0.0,5885.0,0,0.0,1,74,4,39,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,GREENE,2,124500.0,Graduated School,774500.0,ACTIVE,Primary,NOTICE,0,Tow,AAA Northeast,SUBARU,,,,2,0,0,4,0.010776946398076566,0.18545711807362958
1954480,99.04761904761905,0,0,10,0.0,0.0,530.0,377,240,530.0,0.0,0.0,0.0,530.0,10,530.0,0,74,2,39,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,NORTH PROVIDENCE,0,14500.0,Unknown,574500.0,ACTIVE,Primary,NOTICE,0,Flat Tire,AAA Northeast,SATURN,,,,3,10,1,1,0.010776946398076566,0.9742178515793392
1954580,150.0,0,5,0,0.0,2942.5,0.0,270,255,3207.5,0.0,0.0,0.0,3207.5,5,2942.5,0,87,5,28,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,NORTH KINGSTOWN,0,24500.0,Unknown,774500.0,ACTIVE,Associate,AUTO RENEW,0,Lockout,AAA Northeast,HYUNDAI,,TOYOTA,,4,5,1,2,0.010776946398076566,0.8041005280708815
1961010,150.0,0,0,0,0.0,0.0,0.0,320,438,530.0,0.0,0.0,0.0,530.0,0,0.0,1,83,3,33,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,MIDDLETOWN,4,124500.0,Some College,774500.0,ACTIVE,Primary,NOTICE,1,Tow,AAA Northeast,FORD,,,,2,0,0,0,0.9970301681869336,0.18545711807362958
1976940,150.0,0,0,0,0.0,0.0,0.0,315,140,0.0,0.0,0.0,0.0,0.0,0,0.0,1,70,0,32,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,EAST PROVIDENCE,0,94500.0,Completed College,624500.0,ACTIVE,Associate,NOTICE,0,Tow,AAA Northeast,CHRYSLER,,,,2,0,0,2,0.010776946398076566,0.18545711807362958
1978180,150.0,8,22,15,352.5,1632.75,795.0,384,51,2295.0,19.666666666666668,0.0,0.0,2295.0,45,2780.25,0,69,1,39,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,RIVERSIDE,0,44500.0,Some College,674500.0,ACTIVE,Primary,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,5,45,1,3,0.010776946398076566,0.999999999587657
1978570,100.99026497776656,0,12,31,0.0,571.6666666666666,4622.666666666667,118,111,386.5,18.0,7.0,0.0,393.5,43,5194.333333333334,1,74,1,13,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,WARWICK,4,9999.0,High School,774500.0,ACTIVE,Associate,AUTO RENEW,0,Tow,AAA Northeast,NISSAN,,,,13,43,1,2,0.010776946398076566,0.999999999442335
2523230,130.0,0,10,0,0.0,5885.0,0.0,480,242,5885.0,0.0,0.0,0.0,5885.0,10,5885.0,0,75,0,49,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,CUMBERLAND,0,162000.0,Unknown,800000.0,ACTIVE,Associate,NOTICE,0,Battery Service,AAA Northeast,NISSAN,Lockout,,,1,10,1,2,0.010776946398076566,0.9866664513031345
2527390,108.0,8,8,35,4904.166666666667,4904.166666666667,18251.333333333332,210,242,1555.0,0.0,0.0,0.0,1555.0,51,28059.666666666664,1,75,0,22,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,WARWICK,0,9999.0,Unknown,499999.0,ACTIVE,Primary,AUTO RENEW,0,Battery Service,AAA Northeast,ACURA,,,,6,51,1,1,0.9970301681869336,0.9999999999508078
2558850,100.0,0,0,0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,76,2,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,FOSTER,0,64500.0,High School,774500.0,ACTIVE,Primary,NOTICE,0,Lockout,AAA Northeast,TOYOTA,Tow,,,1,0,0,4,0.010776946398076566,0.18545711807362958
2589060,104.76582278481013,0,10,10,0.0,5885.0,530.0,530,242,1868.75,52.5,0.0,0.0,1868.75,20,6415.0,1,74,0,54,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,COVENTRY,0,9999.0,Unknown,499999.0,ACTIVE,Primary,NOTICE,0,Tow,AAA Northeast,DODGE,,,,4,20,1,1,0.010776946398076566,0.9999185797178957
2619170,110.0,10,0,20,5885.0,0.0,1060.0,480,242,1868.75,13.75,26.25,0.0,2131.25,30,6945.0,1,74,0,49,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,CRANSTON,0,34500.0,Unknown,774500.0,CANCELLED,Primary,NOTICE,0,Flat Tire,AAA Northeast,HONDA,Needs Air,,,8,30,1,4,0.010776946398076566,0.9999945221051112
2693850,101.17938532416687,5,5,8,294.25,265.0,337.5,440,367,480.0,0.0,0.0,0.0,480.0,18,896.75,1,74,8,45,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,WARWICK,0,94500.0,Some College,774500.0,ACTIVE,Associate,NOTICE,1,Battery Service,AAA Northeast,BUICK,Lockout,CHEVROLET,,6,18,1,2,0.010776946398076566,0.9992442661385397
2696860,150.0,0,2,2,0.0,1343.75,132.5,188,51,530.0,0.0,0.0,0.0,530.0,4,1476.25,1,71,2,20,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,CRANSTON,1,124500.0,Unknown,774500.0,CANCELLED,Primary,NOTICE,0,Tow,AAA Northeast,INFINITI,,,,5,4,1,0,0.9941377887138593,0.6680365985794445
2698250,101.36885982851925,0,0,10,0.0,0.0,530.0,338,246,430.0,40.0,60.0,0.0,490.0,10,530.0,1,74,9,35,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,WARWICK,0,44500.0,High School,774500.0,ACTIVE,Associate,NOTICE,0,Flat Tire,AAA Northeast,BUICK,,MERCURY,,4,10,1,0,0.9970301681869336,0.9742178515793392
2712480,150.0,10,0,10,6357.0,0.0,3297.0,410,161,280.0,20.0,0.0,0.0,300.0,20,9654.0,1,66,10,42,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,WEST WARWICK,1,64500.0,Unknown,724500.0,CANCELLED,Primary,NOTICE,0,Tow,AAA Minnesota,NISSAN,,,,2,20,1,0,0.9900076122585038,0.9990917009699779
3000710,98.85297604418164,10,0,0,290.0,0.0,0.0,500,428,290.0,0.0,0.0,0.0,290.0,10,290.0,0,74,8,51,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,CRANSTON,0,54500.0,High School,674500.0,ACTIVE,Associate,NOTICE,0,Tow,AAA Northeast,CHEVROLET,,,,2,10,1,2,0.010776946398076566,0.8689005167990185
3260100,20.0,20,10,0,8935.0,325.0,0.0,30,242,1716.25,25.0,0.0,0.0,2993.25,30,9260.0,1,48,0,4,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,PAWTUCKET,0,124500.0,Completed College,674500.0,ACTIVE,Primary,NOTICE,0,Battery Service,AAA Northeast,MERCURY,,TOYOTA,,4,30,1,0,0.9900076122585038,0.9999840526171667
3468090,112.0,0,0,0,0.0,0.0,0.0,278,62,0.0,0.0,0.0,0.0,0.0,0,0.0,1,58,6,29,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,WESTERLY,0,14500.0,Some College,724500.0,ACTIVE,Primary,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,5,0,0,3,0.010776946398076566,0.18545711807362958
3483310,99.57168052406148,0,10,4,0.0,755.0,212.0,366,367,484.0,73.0,87.0,0.0,571.0,14,967.0,1,74,0,38,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,NORTH PROVIDENCE,0,74500.0,Some College,674500.0,CANCELLED,Associate,NOTICE,1,Flat Tire,AAA Northeast,TOYOTA,,,,10,14,1,2,0.010776946398076566,0.9982541234467104
3491430,137.0,0,5,0,0.0,2942.5,0.0,338,70,2238.3333333333335,0.0,0.0,0.0,2238.3333333333335,5,2942.5,1,70,0,35,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,CHARLESTOWN,1,74500.0,Unknown,774500.0,CANCELLED,Primary,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,4,5,1,3,0.010776946398076566,0.8041005280708815
3530090,10.0,0,10,0,0.0,530.0,0.0,350,297,530.0,0.0,0.0,0.0,530.0,10,530.0,0,97,5,36,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,WARWICK,0,124500.0,Some College,774500.0,ACTIVE,Primary,NOTICE,1,Flat Tire,AAA Northeast,TOYOTA,,,,2,10,1,4,0.010776946398076566,0.9866664513031345
3530150,60.0,0,0,0,0.0,0.0,0.0,490,242,530.0,0.0,0.0,0.0,1230.0,0,0.0,1,84,0,50,0,0,0,0,1,0,0,1,1,1,1,1,1,2,1,1,0,0,SMITHFIELD,1,94500.0,Some College,774500.0,ACTIVE,Associate,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,2,0,0,3,0.9999709963405663,0.18545711807362958
3835500,94.6896551724138,0,20,10,0.0,560.0,280.0,430,316,270.0,0.0,0.0,0.0,270.0,30,840.0,1,74,12,44,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,0,0,CHEPACHET,0,44500.0,Completed College,774500.0,ACTIVE,Primary,NOTICE,0,No record for the last three years,No record for the last three years,No record for the last three years,,,,3,30,1,3,0.9999998086449837,0.9999997494624654
4093320,120.0,0,0,0,0.0,0.0,0.0,134,183,243.33333333333334,0.0,0.0,0.0,243.33333333333334,0,0.0,1,58,3,14,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,EAST PROVIDENCE,1,94500.0,Some College,674500.0,ACTIVE,Associate,NOTICE,0,Battery Service,AAA Northeast,TOYOTA,Flat Tire,,,9,0,0,2,0.010776946398076566,0.18545711807362958
4137410,150.0,0,0,0,0.0,0.0,0.0,480,425,0.0,0.0,0.0,0.0,0.0,0,0.0,1,74,3,49,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,CRANSTON,0,9999.0,Unknown,499999.0,PENDING,Primary,NOTICE,0,Battery Service,AAA Northeast,LEXUS,,,,2,0,0,1,0.9900076122585038,0.18545711807362958
4311870,133.0,0,0,3,0.0,0.0,176.66666666666666,77,242,530.0,40.0,0.0,0.0,530.0,3,176.66666666666666,1,74,0,9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,NORTH PROVIDENCE,0,124500.0,Some College,774500.0,CANCELLED,Associate,NOTICE,0,Flat Tire,AAA Northeast,CHEVROLET,Jump Start,DODGE,,3,3,1,2,0.010776946398076566,0.5134276236331733
4324220,100.09851481254857,0,10,0,0.0,530.0,0.0,475,409,530.0,0.0,0.0,0.0,530.0,10,530.0,0,74,6,48,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,NORTH PROVIDENCE,0,14500.0,Unknown,774500.0,CANCELLED,Primary,NOTICE,0,Battery Service,AAA Northeast,OLDSMOBILE,,,,2,10,1,4,0.010776946398076566,0.9866664513031345
